,Unnamed: 0,Segment,City,State,Postal Code,Region,Category,Sub-Category,Quantity,Discount,Profit,Order Date,Ship Date,Sales,Product Name,geocode,latitude,longitude
0,0,Consumer,Henderson,Kentucky,42420,South,Furniture,Bookcases,2,0.0,41.9136,2017-08-11,2017-11-11,261.96,Bush Somerset Collection Bookcase,"Henderson County, Texas, United States",32.182598,-95.7893178
1,1,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,3,0.0,219.582,2017-08-11,2017-11-11,731.94,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Henderson County, Texas, United States",32.182598,-95.7893178
2,2,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,2,0.0,6.8714,2017-12-06,2017-06-16,14.62,Self-Adhesive Address Labels for Typewriters by Universal,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
3,3,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,2,0.0,6.8714,2017-07-11,2017-09-11,14.62,Avery 486,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
4,6,Consumer,Fort Lauderdale,Florida,33311,South,Furniture,Tables,5,0.45,-383.031,2016-11-10,2016-10-18,957.5775,Bretford CR4500 Series Slim Rectangular Table,"Fort Lauderdale, Broward County, Florida, United States",26.1223084,-80.1433786
5,7,Consumer,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,2,0.2,2.5164,2016-11-10,2016-10-18,22.368,Eldon Fold 'N Roll Cart System,"Fort Lauderdale, Broward County, Florida, United States",26.1223084,-80.1433786
6,8,Consumer,Los Angeles,California,90032,West,Furniture,Furnishings,7,0.0,14.1694,2015-09-06,2015-06-14,48.86,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
7,9,Consumer,Los Angeles,California,90032,West,Office Supplies,Art,4,0.0,1.9656,2015-09-06,2015-06-14,7.28,Newell 322,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
8,10,Consumer,Los Angeles,California,90032,West,Technology,Phones,6,0.2,90.7152,2015-09-06,2015-06-14,907.152,Mitel 5320 IP Phone VoIP phone,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
9,11,Consumer,Los Angeles,California,90032,West,Office Supplies,Binders,3,0.2,5.7825,2015-09-06,2015-06-14,18.504,DXL Angle-View Binders with Locking Rings by Samsill,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
10,12,Consumer,Los Angeles,California,90032,West,Office Supplies,Appliances,5,0.0,34.47,2015-09-06,2015-06-14,114.9,Belkin F5C206VTEL 6 Outlet Surge,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
11,13,Consumer,Los Angeles,California,90032,West,Furniture,Tables,9,0.2,85.3092,2015-09-06,2015-06-14,1706.184,Chromcraft Rectangular Conference Tables,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
12,14,Consumer,Los Angeles,California,90032,West,Technology,Phones,4,0.2,68.3568,2015-09-06,2015-06-14,911.424,Konftel 250 Conference phone - Charcoal black,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
13,15,Consumer,Concord,North Carolina,28027,South,Office Supplies,Paper,3,0.2,5.4432,2018-04-15,2018-04-20,15.552,Xerox 1967,"Concord, Merrimack County, New Hampshire, United States",43.207178,-71.537476
14,16,Consumer,Seattle,Washington,98103,West,Office Supplies,Binders,3,0.2,132.5922,2017-05-12,2017-10-12,407.976,Fellowes PB200 Plastic Comb Binding Machine,"Seattle, King County, Washington, United States",47.6038321,-122.330062
15,17,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,5,0.8,-123.858,2016-11-22,2016-11-26,68.81,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Fort Worth, Tarrant County, Texas, United States",32.753177,-97.3327459
16,18,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Binders,3,0.8,-3.816,2016-11-22,2016-11-26,2.544,Storex DuraTech Recycled Plastic Frosted Binders,"Fort Worth, Tarrant County, Texas, United States",32.753177,-97.3327459
17,19,Consumer,Madison,Wisconsin,53711,Central,Office Supplies,Storage,6,0.0,13.3176,2015-11-11,2015-11-18,665.88,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Madison, Dane County, Wisconsin, United States",43.074761,-89.3837613
18,20,Consumer,West Jordan,Utah,84084,West,Office Supplies,Storage,2,0.0,9.99,2015-05-13,2015-05-15,55.5,Fellowes Super Stor/Drawer,"West Jordan, Salt Lake County, Utah, United States",40.6061337,-111.9395211
19,21,Consumer,San Francisco,California,94109,West,Office Supplies,Art,2,0.0,2.4824,2015-08-27,2015-01-09,8.56,Newell 341,"San Francisco, CAL Fire Northern Region, California, United States",37.7790262,-122.419906
20,22,Consumer,San Francisco,California,94109,West,Technology,Phones,3,0.2,16.011,2015-08-27,2015-01-09,213.48,Cisco SPA 501G IP Phone,"San Francisco, CAL Fire Northern Region, California, United States",37.7790262,-122.419906
21,23,Consumer,San Francisco,California,94109,West,Office Supplies,Binders,4,0.2,7.384,2015-08-27,2015-01-09,22.72,"Wilson Jones Hanging View Binder, White, 1""","San Francisco, CAL Fire Northern Region, California, United States",37.7790262,-122.419906
22,24,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Art,7,0.0,5.0596,2017-09-12,2017-12-13,19.46,Newell 318,"Fremont, Alameda County, CAL Fire Northern Region, California, United States",37.5482697,-121.988571
23,25,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,7,0.0,15.6884,2017-09-12,2017-12-13,60.34,"Acco Six-Outlet Power Strip, 4' Cord Length","Fremont, Alameda County, CAL Fire Northern Region, California, United States",37.5482697,-121.988571
24,26,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,2,0.3,-1.0196,2018-07-16,2018-07-18,71.372,"Global Deluxe Stacking Chair, Gray","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
25,27,Consumer,Orem,Utah,84057,West,Furniture,Tables,3,0.0,240.2649,2016-09-25,2016-09-30,1044.63,Bretford CR4500 Series Slim Rectangular Table,"Orem, Utah County, Utah, United States",40.2981599,-111.6944313
26,28,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,2,0.2,4.2224,2017-01-16,2017-01-20,11.648,Wilson Jones Active Use Binders,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
27,29,Consumer,Los Angeles,California,90049,West,Technology,Accessories,3,0.0,11.7741,2017-01-16,2017-01-20,90.57,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
28,30,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,7,0.5,-1665.0522,2016-09-17,2016-09-21,3083.43,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
29,31,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,2,0.7,-7.0532,2016-09-17,2016-09-21,9.618,Avery Recycled Flexi-View Covers for Binding Systems,"Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
30,32,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,3,0.2,15.525,2016-09-17,2016-09-21,124.2,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
31,33,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,2,0.2,1.1016,2016-09-17,2016-09-21,3.264,Poly String Tie Envelopes,"Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
32,34,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,6,0.2,9.7092,2016-09-17,2016-09-21,86.304,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
33,35,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6,0.7,-5.715,2016-09-17,2016-09-21,6.858,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
34,36,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,2,0.2,3.546,2016-09-17,2016-09-21,15.76,Lumber Crayons,"Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
35,37,Home Office,Houston,Texas,77095,Central,Office Supplies,Paper,3,0.2,9.9468,2018-10-19,2018-10-23,29.472,Easy-staple paper,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974
36,38,Corporate,Richardson,Texas,75080,Central,Technology,Phones,7,0.2,123.4737,2017-08-12,2017-10-12,1097.544,GE 30524EE4,"Richardson, Dallas County, Texas, United States",32.9481789,-96.7297206
37,39,Corporate,Richardson,Texas,75080,Central,Furniture,Furnishings,5,0.6,-147.963,2017-08-12,2017-10-12,190.92,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","Richardson, Dallas County, Texas, United States",32.9481789,-96.7297206
38,40,Home Office,Houston,Texas,77041,Central,Office Supplies,Envelopes,9,0.2,35.415,2016-12-27,2016-12-31,113.328,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
39,41,Home Office,Houston,Texas,77041,Central,Furniture,Bookcases,3,0.32,-46.9764,2016-12-27,2016-12-31,532.3992,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
40,42,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,3,0.3,-15.147,2016-12-27,2016-12-31,212.058,"Global Fabric Manager's Chair, Dark Gray","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
41,43,Home Office,Houston,Texas,77041,Central,Technology,Phones,4,0.2,41.7564,2016-12-27,2016-12-31,371.168,Plantronics HL10 Handset Lifter,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974
42,44,Corporate,Naperville,Illinois,60540,Central,Technology,Phones,4,0.2,16.5564,2018-10-09,2018-09-15,147.168,Panasonic Kx-TS550,"Naperville, DuPage County, Illinois, United States",41.7728699,-88.1479278
43,45,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,2,0.0,3.894,2017-07-17,2017-07-22,77.88,"Eldon Base for stackable storage shelf, platinum","Los Angeles, Los Angeles County, CAL Fire Southern Region, California, United States",34.0536909,-118.242766
44,46,Corporate,Melbourne,Florida,32935,South,Office Supplies,Storage,2,0.2,9.5616,2018-09-19,2018-09-23,95.616,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Melbourne, City of Melbourne, Victoria, Australia",-37.8142176,144.9631608
45,47,Corporate,Eagan,Minnesota,55122,Central,Technology,Accessories,2,0.0,19.7714,2017-11-03,2017-03-13,45.98,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","Eagan, Dakota County, Minnesota, United States",44.818173,-93.1659179
